#NOTE: most objects use renderer centroid position. collider or mesh centroid is used where no renderer is available, which is similar. otw we use transform.position which is not guaranteed to be the centroid. check comment col for notes.
#name,x,y,z,qx,qy,qz,qw,comment
StairsMod_StepProtectors,-18.50208,11.07149,29.75111,2.185569E-08,0,0,1,
Stairs_RailingInside_Top,-17.64759,11.50234,29.5026,2.185569E-08,0,0,1,
Stairs_RailingOutside,-18.5006,12.01587,30.531,2.185569E-08,0,0,1,
StairsMod_Top,-18.5,12.36452,30.46915,2.185569E-08,0,0,1,
WaterSprinklerPipe_3x (15),-1.500001,3.832861,22.25,-0.5,-0.5,-0.5,0.5,
CeilingLamp_Embed (4),-3.489863,3.995774,11.98768,0.7071068,0,0,-0.7071068,
Mouse (3),-3.605638,1.787549,33.64948,-0.6433702,-0.2933851,-0.293385,0.6433702,
W_Pilar_Large (9),25,2.5,41,0,0,0,1,
AirventilationGrid_A (8),-13.5,3.947191,20,0.7071068,0,0,-0.7071068,
Plant_Inside_Large,-18.14963,13.80996,21.00436,-0.7071068,0,0,0.7071068,
Phone (4),-4.023,1.810891,33.517,-0.7071068,0,0,0.7071068,
Floor_6x3 (9),-19.5,0.9997299,24.5,-0.5,-0.5,-0.5,0.5,
CeilingLamp_Embed (24),-10.52186,3.995774,25.99568,0.7071068,0,0,-0.7071068,
Floor_12x1 (6),-1.504833,3.99973,-2,-3.090862E-08,-0.7071068,-0.7071068,3.090862E-08,
Floor_6x3 (4),9,3.99973,30.5,-0.5,-0.5,-0.5,0.5,
Trashcan_Metal (8),19.847,1.39499,47.187,0.7071068,0,0,-0.7071068,
W_Pilar_Small,23.5,2.5,47.5,0,0,0,1,
Door_MetalDark,-3.992182,2.148414,10.06498,0.5000001,-0.5000001,-0.5000001,-0.5000001,
Door_MetalDark_Parent,-7.958001,3.15,19.642,0,0,0,1,collider_centroid
Door_MetalDark_ParentMain,-3.5,1,9.5,0,0.7071068,0,0.7071068,transform_position
Lamp_SquareCeiling (4),-1.769,3.99001,18,0.7071068,0,0,-0.7071068,
Door_Metal_Gray,2.493308,2.150548,-0.4725981,-0.7071068,0,0,0.7071068,
Door_Metal_Gray_Parent,3.446,3.15,2.054,0,0.7071068,0,-0.7071068,collider_centroid
Door_Metal_Gray_ParentMain,2.5,1,-0.5,0,0.7071068,0,-0.7071068,transform_position
CeilingLamp_Embed (46),-18.99886,15.99077,29.02268,0.7071068,0,0,-0.7071068,
Door_ParentScript,23.5,1,54.403,0,0,0,-1,transform_position
Cell_Shelf,26.07219,2.385,54.43,-0.5,-0.5,-0.5,0.5,
Cell_Toilet,25.5,1.235455,56.07195,0,-0.7071068,-0.7071068,0,
Door_Cell,23.50544,2.141304,54.89308,-0.5,0.5,0.5,0.5,
Door_Cell_Parent,23.5,1,54.903,0,0,0,-1,transform_position
Cell_Sink,25.9975,1.839938,55.252,-0.5,-0.5,-0.5,0.5,
Cell_Bed,25.093,1.165408,53.93089,-0.5,-0.5,-0.5,0.5,
Cell_Complete (5),24.9,2.402935,55,-0.5,-0.5,-0.5,0.5,
Plant_Inside_Small,-3.786,2.021265,20.798,-0.7071068,0,0,0.7071068,
Water_Dispenser,24.59452,1.844218,47.19024,-0.007934039,0.7070624,0.7070624,0.007934039,
Water_DispenserMUG,24.6051,1.618604,47.05394,-0.007934039,0.7070624,0.7070624,0.007934039,
Water_Dispenser (1),24.5969,1,47.19805,0,-0.9999371,0,-0.01122043,transform_position
W_2x_glass_Door (2),-10.5,2.499827,27.50022,-3.090862E-08,-0.7071068,-0.7071068,3.090862E-08,
Closet_Door_R,16.61719,2.015524,46.23058,-0.05374324,-0.7050616,-0.7050616,0.05374322,
Closet_Door_L,17.50141,2.01553,46.01339,0.2890643,-0.6453231,-0.6453231,-0.2890642,
Closet_Metal (1),17,2.00565,46.583,-3.090862E-08,-0.7071068,-0.7071068,3.090862E-08,
Painting_B,13.36443,2.726437,28.9463,-0.5,-0.5,-0.5,0.5,
Floor_12x1 (4),14,0.9997299,45.5,-0.5,-0.5,-0.5,0.5,
Floor_12x4 (19),34.5,3.99973,39,-3.090862E-08,-0.7071068,-0.7071068,3.090862E-08,
WindowBlinds_A,5.774,2.835304,27.52771,0.7071068,0,0,-0.7071068,
W_6x (5),3.413298,2.5,18.5,0,0.7071068,0,-0.7071068,
Elevator_Doors,-21,9,26,0,0.7071068,0,0.7071068,transform_position
W_3x_Elevator_Door,-21.02581,10.41789,26,0,0.7071068,0,0.7071068,
Elevator_Doors_Parent_Out,-21,9,26,0,0.7071068,0,0.7071068,transform_position
ElevatorDoor_L,-21.075,10.17006,25.63541,1.545431E-08,0.7071068,-1.545431E-08,0.7071068,
ElevatorDoor_R,-21.075,10.17006,26.36445,1.545431E-08,0.7071068,-1.545431E-08,0.7071068,
Elevator_Panel_Outside,-20.89,10.094,25.047,0,0.7071068,0,0.7071068,
Elevator_CompleteOutside_Parent (6),-21,9,26,0,0.7071068,0,0.7071068,transform_position
AirventilationGrid_A (6),-6.5,3.947191,25,0.7071068,0,0,-0.7071068,
Books,-3.668774,1.649673,20.63872,-3.090862E-08,-0.7071068,-0.7071068,3.090862E-08,
FileFolder,-3.281774,1.649738,20.67241,0.05993104,0.7045625,0.7045625,-0.05993106,
Books (1),-2.689774,1.649673,20.63872,-3.090862E-08,-0.7071068,-0.7071068,3.090862E-08,
FileFolder (1),-3.099774,1.649738,20.65241,0.05993104,0.7045625,0.7045625,-0.05993106,
Dresser_A_WithBooks (1),-3.18,1.43217,20.923,-3.090862E-08,-0.7071068,-0.7071068,3.090862E-08,
WaterSprinklerPipe_3x (3),5,3.832861,32.5,0.7071068,0,0,-0.7071068,
TableScreen_C,17.5,1.527055,35.5,-0.7071068,0,0,0.7071068,
Pencil (2),-9.675,1.774583,32.294,-0.7071068,0,0,0.7071068,
Couch_1seat (12),17.78884,1.476838,23.19487,-0.7071068,0,0,0.7071068,
Lamp_SquareCeiling (15),33,3.99001,39.5,0.7071068,0,0,-0.7071068,
Floor_12x4 (13),1.5,3.99973,15.5,-0.5,-0.5,-0.5,0.5,
WindowBlinds_Closed,9.233,2.841215,27.60408,-3.090862E-08,-0.7071068,-0.7071068,3.090862E-08,
Toilet_Partition_Tile (3),36.9511,2.350385,34.56164,0.7071068,0,0,-0.7071068,
W_3x (10),30,2.5,41.0867,0,0,0,1,
Folder01,17.88705,2.0664,33.74224,0.001894835,-0.9896709,-0.01313734,0.1427419,
Folder02,17.88015,2.063334,33.69782,1.117587E-08,0.9949392,-9.610085E-08,-0.1004787,
FolderHolder_WithFiles,17.88002,2.067576,33.70478,0.08180056,0.7023594,0.7023593,-0.08180057,
W_6x_Window_Small,-15.93695,2.5,18.5,0,0.7071068,0,0.7071068,
TableScreen_E_Glass (5),-13.5,1.776987,17,0.5,-0.5,-0.5,-0.5,
Trashcan_Metal (2),2.992,1.39499,13.176,0.7071068,0,0,-0.7071068,
W_2x_glass_B (3),14.554,2.5,41,0.7071068,0,0,-0.7071068,
PipeLargeCeiling6x,20.947,3.896582,51.937,-3.090862E-08,-0.7071068,-0.7071068,3.090862E-08,
Floor_12x2 (1),22.5,3.99973,46.5,-3.090862E-08,-0.7071068,-0.7071068,3.090862E-08,
Floor_12x4 (14),22.5,0.9997301,43.5,-3.090862E-08,-0.7071068,-0.7071068,3.090862E-08,
AirventilationGrid_A (5),-0.5,3.947191,25,0.7071068,0,0,-0.7071068,
W_3x (7),-14,2.5,9.586702,0,0,0,1,
Plant_Inside_Large (7),3.973276,1.809964,7.26536,0.7071068,0,0,-0.7071068,
W_2x_glass_DoorDouble (2),4.5,2.5,24.5,0.5,-0.5,-0.5,-0.5,
Closet_Door_R,-13.84877,2.015545,38.25217,-3.090862E-08,-0.7071068,-0.7071068,3.090862E-08,
Closet_Door_L,-13.09421,2.015527,38.25216,-3.090862E-08,-0.7071068,-0.7071068,3.090862E-08,
Closet_Metal (3),-13.47,2.00565,38.55,-3.090862E-08,-0.7071068,-0.7071068,3.090862E-08,
W_1x (3),-21,2.5,27.4133,0,1,0,-4.371139E-08,
Paper01,-8.143,1.82439,17.237,0.705394,-0.04918769,-0.04918748,-0.7053939,
Folder02,-7.728184,1.9723,17.65113,-5.177807E-08,-0.703441,5.638788E-08,-0.7107538,
TableWooden_B (1),-8.5,1.410632,17.5,0,0.7071068,0.7071068,0,
Folder01,-7.781774,1.975366,17.64854,-0.01140959,0.733004,0.00678249,0.680095,
Phone (1),-9.070048,1.860437,17.57602,-0.1099356,0.6985086,0.6985086,0.1099357,
Pencil,-8.263601,1.916048,17.60838,-0.07998998,0.6781904,0.03134548,-0.7298474,
Folder02 (1),-7.869999,1.843022,17.32,0.121074,0.6966643,0.6966643,-0.1210739,
FolderHolder_WithFiles,-7.747,1.976542,17.647,0.4949127,-0.5050362,-0.5050361,-0.4949128,
Laptop_2,-8.580055,1.969858,17.32393,-0.01353258,0.7069774,0.7069773,0.01353255,
