#NOTE: most objects use renderer centroid position. collider or mesh centroid is used where no renderer is available, which is similar. otw we use transform.position which is not guaranteed to be the centroid. check comment col for notes.
#name,x,y,z,qx,qy,qz,qw,comment
Book,-16.95293,2.445061,-5.494,-0.5,-0.5,-0.5,0.5,
Elvengen_Glass,-4.989777,3.298723,-1.407405,0,0.7071068,0.7071068,0,
Elvengen,-4.989777,3.146379,-1.488897,0,0.7071068,0.7071068,0,
Elvengen,-4.99,3.162,-1.4648,0,1,0,0,transform_position
Rastog,-15.956,1.367729,-1.344817,-0.7071068,0,0,0.7071068,
Books,-0.3580013,4.019366,1.5912,-9.685753E-08,0.7071068,0.7071068,1.117587E-07,
Pello_Wood,-0.5116629,0.6441978,-0.6390922,-0.4300123,0.5613282,0.5613284,0.4300123,
Pello_Cloth,-0.5649229,0.800572,-0.6274456,-0.4300123,0.5613284,0.5613284,0.4300123,
Pello,-0.5574364,0.1935115,-0.628,0,-0.6081293,0,0.793838,transform_position
Books,0.561,3.599441,-0.39,-0.5,-0.5,-0.5,0.5,
Books,-1.506,0.6830062,-4.239841,-0.7071044,-0.7071044,-0.001851264,0.001851264,
Door_Relax_Handle,-3.840055,1.230568,-3.86845,-0.1177892,-0.6972274,-0.6972268,0.1177898,
Door_Bedroom,-0.1330985,4.04795,-2.938402,-0.7070702,0.007188797,0.007188797,0.7070702,
Door_Bathroom,-1.376068,4.04795,-2.920583,0.7067813,0.02145638,0.02145638,-0.7067813,
Door_Relax_Handle057,-4.223155,1.588678,-0.5067012,-0.5000001,-0.5,-0.5,0.5000001,
Door_Relax_Handle054,-4.06246,1.588678,-0.5067082,-0.5000001,0.4999999,0.4999999,0.5000001,
Door_Relax_Handle052,-3.810588,3.114234,-0.07853076,3.793077E-08,3.793076E-08,0.7071066,0.7071069,
Door_Relax_Handle051,-3.91186,3.114227,-0.07853082,-6.883939E-08,6.883937E-08,-0.7071066,0.7071069,
